ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"51.77.73.67","elite","AS16276","ES","OVH SAS","4","Sastre Vazquez Antonio","31979","socks4","2783","1","2025-09-17T07:22:26.572Z","100","10519","10542"
"149.20.253.66","elite","AS18615","US","Mainstream Fiber Networks, LLC","107","Mainstream Fiber Networks, LLC","12551","socks4","3703","1","2025-09-17T07:22:26.566Z","100","10542","10559"
"103.105.76.21","elite","AS136874","ID","PT. Garuda Media Telematika","178","Garuda","5678","socks4","2609","1","2025-09-17T07:22:26.568Z","62","6600","10574"
"171.248.211.25","elite","AS7552","VN","Viettel Corporation","203","VIETEL","1080","socks4","3973","1","2025-09-17T07:22:26.570Z","64","2353","3652"
"203.98.76.139","elite","AS17882","MN","MCS Com Co Ltd","116","Univision LLC","4153","socks4","2400","1","2025-09-17T07:22:26.565Z","99","3809","3866"
"213.163.126.100","elite","AS8661","XK","Telekomi i Kosoves SH.A.","37","Telekomi i Kosovës","5678","socks4","4407","1","2025-09-17T07:22:26.572Z","15","1628","10552"
"123.127.94.83","elite","AS4808","CN","China Unicom Beijing Province Network","225","Bcxt CO","8800","socks4","2694","77","2025-09-17T07:22:26.564Z","100","119","119"
"160.226.139.135","elite","AS328178","ZA","Vinet Internet Solutions","175","Vinet Internet Solutions","1080","socks4","3503","1","2025-09-17T07:22:26.563Z","82","8661","10511"
"216.107.129.214","elite","AS61317","US","Ipxo LLC","97","Internet Utilities NA LLC","10180","socks5","1174","1","2025-09-17T07:22:26.567Z","100","10574","10589"
"94.228.162.155","elite","AS210644","FR","Aeza International LTD","4","N/A","14268","socks4","4286","69","2025-09-17T07:22:26.564Z","100","2211","2213"
"218.147.194.3","elite","AS4766","KR","Korea Telecom","245","Kornet","80","socks4","1683","1","2025-09-17T07:22:26.566Z","100","269","270"
"107.174.121.140","elite","AS36352","US","HostPapa","115","RackNerd LLC","3128","socks4","5065","1","2025-09-17T07:22:26.569Z","81","8442","10460"
"61.6.214.120","elite","AS10094","BN","BruNet Jabatan","265","N/A","554","socks4","3873","1","2025-09-17T07:22:25.873Z","99","1582","1597"
"165.154.227.154","elite","AS142002","TW","Scloud Pte Ltd","254","Scloud Pte Ltd","5096","socks5","4103","1","2025-09-17T07:22:25.874Z","61","6513","10653"
"104.17.6.160","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","3701","9499","2025-09-17T07:22:25.888Z","100","62","62"
"174.138.176.78","elite","AS19318","US","Interserver, Inc","83","Interserver, Inc","37793","socks4","2476","1","2025-09-17T07:22:17.365Z","79","2982","3770"
"185.215.53.205","elite","AS205368","AM","Fnet LLC","69","N/A","3629","socks4","4200","1","2025-09-17T07:22:17.296Z","100","3831","3836"
"104.26.2.164","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","3433","9890","2025-09-17T07:22:17.378Z","100","17","17"
"134.236.58.204","elite","AS131090","TH","CAT-BB","201","N/A","8080","socks4","2894","1","2025-09-17T07:22:17.296Z","40","507","1257"
"154.117.134.214","elite","AS37358","ZA","BitCo","183","West Indian Ocean Cable Company LTD","4153","socks4","1400","1","2025-09-17T07:22:17.587Z","36","3867","10655"
"116.100.222.209","elite","AS7552","VN","Viettel Corporation","188","Viettel Group","1080","socks4","4683","1","2025-09-17T07:22:17.298Z","64","2351","3685"
"187.95.136.46","elite","AS262318","BR","Horizons Telecomunicações e Tecnologia S.A.","258","Ligga Telecomunicações S.A","5678","socks4","140","1","2025-09-17T07:22:17.369Z","97","3757","3883"
"103.51.46.6","elite","AS133819","ID","CIM","187","N/A","4145","socks4","4679","1","2025-09-17T07:22:17.366Z","97","10283","10600"
"104.21.22.46","elite","AS13335","CA","Cloudflare, Inc.","4","Cloudflare, Inc.","80","http","2064","9884","2025-09-17T07:22:17.466Z","100","18","18"
"36.66.170.25","elite","AS7713","ID","PT. Telekomunikasi Indonesia","363","N/A","4153","socks4","2627","1","2025-09-17T07:22:17.370Z","94","1677","1775"
"198.145.133.76","elite","AS7018","US","AT&T Enterprises, LLC","88","N/A","1080","socks4","2194","1","2025-09-17T07:22:17.586Z","100","633","633"
"129.226.148.192","elite","AS132203","SG","Tencent Cloud Computing (Beijing) Co","312","N/A","443","socks4","3366","1","2025-09-17T07:22:17.366Z","100","1536","1540"
"167.249.254.70","elite","AS28408","MX","Gdlicanet, S.A. de C.V.","161","Gdlicanet, S.A. de C.V.","1080","socks4","3822","1","2025-09-17T07:22:17.370Z","100","10467","10507"
"110.185.101.177","elite","AS4134","CN","CHINANET SiChuan Telecom Internet Data Center","270","Chinanet SC","51800","socks4","297","1","2025-09-17T07:22:17.589Z","59","6206","10601"
"88.198.107.107","elite","AS24940","DE","Hetzner Online GmbH","25","Hetzner Online GmbH","55152","socks4","1719","1","2025-09-17T07:22:17.586Z","100","3816","3817"
